EMEA,Q1'19,Q2'19,Q3'19,Q4'19,Q1'20,Q2'20,Q320
Gross Retention,84%,85%,90%,91%,90%,86%,86%
Net Retention,108%,111%,120%,118%,111%,88%,101%
NPS,-21.3,-13.6,-2.3,-0.1,7,2.4,6
Change in NPS,,7.7,11.3,2.2,7.1,-4.6,3.6
Change in Gross Retention,,1%,6%,1%,-1%,-4%,0%
Change in Net Retention,,3%,8%,-2%,-6%,-21%,15%
